,pressure,perimeter,feret_d,area,centroid_x,centroid_y,stresstensor_eigval1,stresstensor_eigval2,stresstensor_orientation,stresstensor_anisotropy,inertiatensor_eigval1,inertiatensor_eigval2,inertiatensor_orientation,inertiatensor_anisotropy,moments_hu_1,moments_hu_3,bbox_x,bbox_y,celltype,celltype_conf,cluster,cluster_conf,phenograph_clusters,boundary_annotation,polygon_perimeter
cell_553,0.5123211624186919,421.373629022557,153.28731193415845,6229,3898.087654519185,3804.69096163108,0.0334689028519899,0.0153079115088548,0.8820203940978628,0.3723283609458854,1190.2767128605904,270.0045910039721,1.3920704347371022,0.6302019476803294,0.2344327024987257,0.0037148927024708,85,149,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,341.26268857383445
cell_554,0.3195627030503888,1097.1320343559644,320.4075529696515,46565,8254.53127885751,3859.9032535165898,0.0063154628263882,0.0026821936020623,1.5145482914885566,0.4038017291744454,4947.905156728489,3504.12716045042,1.034211086244419,0.1708202172090094,0.1815104116220102,0.0015886658388103,243,281,Cranial mesoderm,1.0,2.0,1.0,5,Cranial mesoderm,789.7608122676838
cell_555,0.4780218403813395,683.3330444827409,211.7404071026596,18993,4232.2587795503605,3849.6321276259673,0.0181086995947974,0.0046979909825854,1.1569449003866288,0.5880164229312295,2468.530769139794,988.663027218477,1.026170712956771,0.4280546099209641,0.1820246299351482,0.0002101518903247,173,205,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,545.9459964391939
cell_556,1.1279609355244096,528.8772003600252,165.8010856418015,11529,5121.544713331598,3805.286581663631,0.0264001611824972,0.0003158398089627,0.9056909849727012,0.9763557570563282,1536.1702024572785,612.7220114780946,0.7447491925132443,0.4297322057340546,0.1863901651431497,0.0004248505151698,161,143,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,438.22585356593345
cell_557,0.5621076485182535,955.445742854949,308.02921939322573,35141,6789.107452832874,3852.4421900344328,0.0071259763859678,0.0033135894368368,0.8727775872568894,0.3651863510264992,6131.765453296399,1379.7237492635145,0.5983361548504708,0.632636428794092,0.2137528585572383,0.0007981675745997,293,225,Cranial mesoderm,1.0,2.0,1.0,5,Cranial mesoderm,758.7169886110795
cell_558,0.8122250645339549,935.8183258569796,263.77452492611945,34257,3443.4045012698134,3865.869632483872,0.0236172104261229,0.014089388718126,0.3704057273960358,0.2526831356905903,3935.3960792197295,2157.0240277533585,1.2519117555295556,0.2918991173033082,0.1778445312483021,0.0009486009547118,231,259,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,755.9902342930717
cell_559,1.4978625785277364,741.3330444827409,227.31695933211847,23369,4077.023021952159,3844.853395523985,0.0343829910532195,0.024304856283244,0.2798451248509677,0.1717243897564764,2381.091170081039,1538.3050962228217,0.3002269334669091,0.2150295649112807,0.1677177571271282,7.390878612824689e-05,227,183,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,615.783115177873
cell_560,1.0517444454568483,834.4041122946064,240.80074750714545,29327,3693.54550414294,3859.29907593685,0.0251841531021887,0.0143677860025625,0.3905170756258575,0.2734724856594153,2688.517629539429,2179.7632321129418,0.2385760516807909,0.1045039125482601,0.1659999611843138,0.0002068258494735,233,197,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,660.3437278500168
cell_561,0.7850757253143097,587.4213562373095,192.89893727027115,15087,5482.845098429111,3827.637369921124,0.0195708038877437,0.0082819628943936,0.1149787442335,0.4053041150866905,1925.9504426175408,866.8465379529721,0.1828624077471384,0.3792269585053099,0.1851128110671778,0.0011735671324442,191,129,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,489.7544380199198
cell_562,0.4930250564094074,638.6639969244288,229.8717033477588,16985,5978.3496025905215,3820.802119517221,0.0340516439446318,0.0072911159819158,0.0569132643716108,0.64728450665269,2631.314919616246,746.8906725836273,0.1103666691018508,0.5578181065662997,0.1988934702502133,0.0004142873940145,229,123,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,545.7050597972031
