,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
1953,cell_753,cell_761,205.1181833199803,9.357663344183208e-17,5.323586317023722,-36.90775096429068
1954,cell_754,cell_760,11.695605293796437,5.361984365535156e-17,2.4592131553275483,-37.464612456879046
1955,cell_754,cell_776,142.1011958554212,2.759484452610181e-17,4.956539450658222,-38.12890271115016
1956,cell_754,cell_790,77.32420240327517,4.885972030867267e-17,4.348007003655667,-37.557578332421144
1957,cell_754,cell_796,51.28343628771948,3.0119163053747718e-18,3.9373678206582667,-40.34395515140141
1958,cell_755,cell_757,71.2905597643896,4.2755489272715225e-17,4.266763917032917,-37.691034082713024
1959,cell_755,cell_760,61.389573642727946,4.408239852880674e-18,4.117240010354658,-39.963056190437094
1960,cell_755,cell_770,38.47309669568215,1.1018531483097193e-16,3.6499592099030767,-36.74436804530089
1961,cell_755,cell_777,49.55428976988684,1.9909023188373985e-17,3.903068831597492,-38.45535861837767
1962,cell_755,cell_781,41.35240090550317,1.7008969838654096e-17,3.7221304827950683,-38.612790831420476
1963,cell_755,cell_785,40.53482822549903,3.838735147062028e-17,3.702161560747184,-37.79880365734547
1964,cell_756,cell_774,22.59440583253916,8.368818283952326e-17,3.117702346104083,-37.019433891077874
1965,cell_756,cell_786,94.593034491433,5.4864817936519036e-17,4.549583842178141,-37.441659369845816
1966,cell_757,cell_777,25.48429057488672,6.245681934908094e-17,3.2380622064371853,-37.312056246339935
1967,cell_758,cell_769,90.38630531800123,6.8344342067893514e-18,4.5040927660772665,-39.524557985959746
1968,cell_758,cell_782,191.1454119421417,2.447878493273357e-19,5.253034457459077,-42.853895038569405
1969,cell_759,cell_772,65.63506077827864,6.2566239305223385e-18,4.184110016259035,-39.61289094248307
1970,cell_759,cell_795,41.73225263192066,7.622813626020646e-18,3.7312742742613345,-39.415386130087484
1971,cell_760,cell_770,76.86113477028661,9.592482573452097e-17,4.342000349148014,-36.882966854446146
1972,cell_760,cell_796,44.655768933777786,4.787967123606399e-17,3.7989835024205334,-37.577840659641325
1973,cell_761,cell_774,209.7130617060954,4.7309267864109694e-18,5.3457402235507985,-39.892410552651874
1974,cell_761,cell_779,221.1604191090862,1.6121618193605118e-16,5.3988883165171595,-36.363785464639776
