source_gene,target_gene,ab_vs_aa_pval,ab_vs_aa_stat,ab_vs_bb_pval,ab_vs_bb_stat,ba_vs_aa_pval,ba_vs_aa_stat,ba_vs_bb_pval,ba_vs_bb_stat,ab_likelihood,ba_likelihood,ab_type,ba_type,ab_rank,ba_rank,ab_likelihood_abs,ba_likelihood_abs,ab_rank_abs,ba_rank_abs
Fn1,Cd44,0.22035987639841192,-1.2255717439936213,0.004115642728035966,-2.8691594429708775,0.35299454649620066,-0.9287965234749865,0.002721794287433557,-2.997527357125691,1.2255717439936213,0.9287965234749865,negative,negative,69.0,105.0,1.2255717439936213,0.9287965234749865,69.0,105.0
Fgf17,Fgfr1,0.45812486993439194,-0.7419380512965869,4.3232258677035334e-07,5.054145215818762,0.6818136710228354,0.40998947130907687,2.5027552257019386e-08,5.573079336870134,0.7419380512965869,0.40998947130907687,inconsistent,positive,119.5,175.0,0.7419380512965869,0.40998947130907687,119.5,175.0
Dll1,Notch4,0.4204217522606791,-0.8056897653339232,0.5579767835295797,0.5858493103448389,0.0007250165231838451,-3.379940011462229,0.0911682503226268,-1.6892671256330203,0.5858493103448389,1.6892671256330203,inconsistent,negative,148.0,37.0,0.5858493103448389,1.6892671256330203,148.0,37.0
Fgf9,Fgfr2,0.22789973369763816,-1.205786729292379,0.0012813570308815839,-3.220122782734569,0.0010837738283659803,3.267824928155189,0.6424260352952442,0.46430947673017536,1.205786729292379,0.46430947673017536,negative,positive,72.0,167.0,1.205786729292379,0.46430947673017536,72.0,167.0
Fgf9,Fgfr1,0.2003587593241034,-1.2805301181637387,0.019964741105960655,-2.3270098480829966,0.00015135824789600793,3.7888303152879037,0.005662019815763076,2.766738234868633,1.2805301181637387,2.766738234868633,negative,positive,64.5,5.0,1.2805301181637387,2.766738234868633,64.5,5.0
Mdk,Lrp1,0.4541386940134715,-0.748533056197001,0.14889199503003148,-1.4434562261876334,0.068558148978825,-1.8213205199976954,0.004523872380667729,-2.839115888594219,0.748533056197001,1.8213205199976954,negative,negative,118.0,34.0,0.748533056197001,1.8213205199976954,118.0,34.0
Dlk1,Notch2,0.6923261385696722,0.39570029402484636,0.1949859287352652,-1.2959696865204013,0.520929146792011,-0.6419138103069729,0.013291494039617881,-2.475862003858259,0.39570029402484636,0.6419138103069729,inconsistent,negative,173.5,138.0,0.39570029402484636,0.6419138103069729,173.5,138.0
Dlk1,Notch3,0.0810930598793765,1.744378796159531,0.0005935943846738559,-3.4345245116952676,0.0019160213434380338,3.102949805644837,0.09543146260306418,-1.6674172679045416,1.744378796159531,1.6674172679045416,inconsistent,inconsistent,39.0,40.0,1.744378796159531,1.6674172679045416,39.0,40.0
Efna3,Epha1,0.7357819058247336,-0.33744441740452175,1.4521038685567293e-05,4.33583114299502,0.367419618748844,-0.9013173363899277,2.5958799386349125e-06,4.700450643839011,0.33744441740452175,0.9013173363899277,inconsistent,inconsistent,183.0,109.0,0.33744441740452175,0.9013173363899277,183.0,109.0
Efna5,Epha1,0.9308032778247037,-0.08683423118878572,2.7201742429252994e-06,4.690891331082801,0.44951297025648373,0.7562272285808175,6.677249003108485e-08,5.399646091150333,0.08683423118878572,0.7562272285808175,inconsistent,positive,224.0,121.0,0.08683423118878572,0.7562272285808175,224.0,121.0
Efna4,Epha1,0.5550210854553077,-0.5902529385870624,8.285971601831879e-07,4.9285085338800085,0.4790298049932864,0.707863859311114,1.197500690810291e-08,5.700081634916917,0.5902529385870624,0.707863859311114,inconsistent,positive,144.0,129.0,0.5902529385870624,0.707863859311114,144.0,129.0
Ntf3,Ntrk2,0.9325508603826159,-0.08463589622198102,0.42594241963960056,-0.7961541909814478,0.5594504744348127,-0.5836579336866483,0.16992520198913064,-1.372444188570077,0.08463589622198102,0.5836579336866483,negative,negative,225.0,142.0,0.08463589622198102,0.5836579336866483,225.0,142.0
Edn3,Ednra,0.5159454753806006,-0.6496079826907893,1.9754634909814794e-07,5.201631755485994,0.02044148421030736,-2.318144222495558,3.655226610088943e-05,4.128257494574471,0.6496079826907893,2.318144222495558,inconsistent,inconsistent,132.0,12.0,0.6496079826907893,2.318144222495558,132.0,12.0
Fgf17,Fgfr3,0.5579721071073745,-0.5858562686534531,0.08605604030757845,-1.716579447793619,0.17082345473811777,-1.3695626843193291,0.0028335886158978242,-2.9852368121534214,0.5858562686534531,1.3695626843193291,negative,negative,146.5,66.0,0.5858562686534531,1.3695626843193291,146.5,66.0
Mdk,Sdc4,0.15397799472661947,-1.4256202259728492,7.191909233194634e-05,-3.9698460260429993,0.47020039347814135,-0.7221530365953446,0.0007927357726789743,-3.355318777429532,1.4256202259728492,0.7221530365953446,negative,negative,57.0,124.0,1.4256202259728492,0.7221530365953446,57.0,124.0
Mdk,Sdc1,0.00915727409463964,-2.6061261031469742,0.0002255542255097166,-3.6885291077888342,0.10638065368758691,-1.6146770331180536,0.005271557809096705,-2.789953708705142,2.6061261031469742,1.6146770331180536,negative,negative,12.0,43.0,2.6061261031469742,1.6146770331180536,12.0,43.0
Mdk,Ptprz1,0.07623580741074498,-1.772957150727992,0.2874125382775199,1.0638149481553136,0.0004095945645184681,-3.533823459138558,0.1733496513208994,-1.3615192597058376,1.0638149481553136,1.3615192597058376,inconsistent,negative,86.0,67.0,1.0638149481553136,1.3615192597058376,86.0,67.0
Ncam1,Fgfr1,0.5579721071073745,0.5858562686534531,0.014784111939569406,2.4376247528334205,0.28882779586913065,1.0606966214832687,0.007968724385831624,2.6533920979021492,0.5858562686534531,1.0606966214832687,positive,positive,146.5,94.0,0.5858562686534531,1.0606966214832687,146.5,94.0
Wnt5a,Fzd10,0.7944760378552684,0.2605026935663572,0.05821047146913444,1.8941095418375096,0.05184394704612121,1.9444272781387588,0.00034454239815786387,3.57927981914644,0.2605026935663572,1.9444272781387588,positive,positive,199.0,22.0,0.2605026935663572,1.9444272781387588,199.0,22.0
Wnt5b,Fzd1,0.3187912522326194,-0.9969449074459323,0.7358853486794164,-0.3373071786833921,0.7374394625166354,0.33524608243771703,0.2704389788801641,1.1020521991801515,0.3373071786833921,0.33524608243771703,negative,positive,184.5,184.5,0.3373071786833921,0.33524608243771703,184.5,184.5
Wnt5b,Fzd10,0.8354299107929302,0.20774265436304432,0.051983336328558366,-1.943271721726587,0.0027821603083252005,2.9908347223377967,0.6690604497760566,0.4274378418133673,0.20774265436304432,0.4274378418133673,inconsistent,positive,207.0,171.0,0.20774265436304432,0.4274378418133673,207.0,171.0
Wnt5b,Fzd2,0.19958722783734206,1.2827284531305436,0.002465278656832485,-3.0275709115023495,0.8560829456223522,-0.1813626347613879,0.00024311044831570923,-3.6694104822764153,1.2827284531305436,0.1813626347613879,inconsistent,negative,63.0,217.0,1.2827284531305436,0.1813626347613879,63.0,217.0
Wnt5b,Fzd4,0.0665782461923638,1.8345105297985236,0.005638348582670505,-2.7681038509766633,0.055105019092045446,1.9180472585371025,0.010784494575611122,-2.5496052736918746,1.8345105297985236,1.9180472585371025,inconsistent,inconsistent,34.0,26.5,1.8345105297985236,1.9180472585371025,34.0,26.5
Wnt5b,Fzd5,0.5324127699031036,-0.6243271305725353,0.019604209947401155,-2.3338379286231463,0.44034214777590697,-0.7716155733484503,0.011040586853519187,-2.541411577043695,0.6243271305725353,0.7716155733484503,negative,negative,135.5,119.0,0.6243271305725353,0.7716155733484503,135.5,119.0
Wnt5b,Fzd7,0.7725193561446235,0.2890810481348183,0.13340416745147093,-1.5008121027248904,0.010804178162795669,-2.5489693940100517,5.263909493168347e-05,-4.0435892958766155,0.2890810481348183,2.5489693940100517,inconsistent,negative,190.5,9.0,0.2890810481348183,2.5489693940100517,190.5,9.0
Wnt5b,Fzd8,0.000919748089072752,3.313989962458088,0.20750214652984866,-1.2604636677116232,0.14772795059239668,1.4476035756408963,0.0018396340542089632,-3.1149703424162647,1.2604636677116232,1.4476035756408963,inconsistent,inconsistent,67.0,56.0,1.2604636677116232,1.4476035756408963,67.0,56.0
Wnt5b,Fzd9,0.638823401066821,0.46934451541280386,9.972532854024991e-06,-4.417768109476816,0.560930739836023,0.5814595987198437,3.056358371678079e-05,-4.169225977815369,0.46934451541280386,0.5814595987198437,inconsistent,inconsistent,162.0,143.0,0.46934451541280386,0.5814595987198437,162.0,143.0
Mif,Ackr3,0.00719967555566981,2.687464496918748,0.00018571778344427252,-3.7376912876779116,0.32093016080985315,0.9925482375123229,1.4808940433112683e-06,-4.813796780805495,2.687464496918748,0.9925482375123229,inconsistent,inconsistent,9.0,100.0,2.687464496918748,0.9925482375123229,9.0,100.0
Retn,Cap1,0.020203829199769405,2.3225408924291675,0.021855522391664498,-2.2928694453822485,0.5088690887171735,-0.6605996575248129,8.437930200807649e-05,-3.9316087750181614,2.2928694453822485,0.6605996575248129,inconsistent,negative,20.0,132.0,2.2928694453822485,0.6605996575248129,20.0,132.0
Nampt,Insr,0.1422703764964295,1.4673885903421384,0.49386550642801175,0.6841736701229937,0.29893810687313294,1.0387132718152217,0.7441351654824506,0.3263822498191527,0.6841736701229937,0.3263822498191527,positive,positive,126.0,189.0,0.6841736701229937,0.3263822498191527,126.0,189.0
Angptl4,Cdh11,0.5491420242627433,-0.5990462784542813,0.0008746983963377402,3.3280064552689335,0.09412429531709122,1.6740320772217805,9.136017071833706e-07,4.909389908367589,0.5990462784542813,1.6740320772217805,inconsistent,positive,141.5,39.0,0.5990462784542813,1.6740320772217805,141.5,39.0
Angptl4,Sdc1,0.2809073468858658,-1.0782833012177062,0.7297178523242585,0.34550087533157164,0.6309883591870431,-0.48033619024682733,0.37693722424704956,0.8835536218953631,0.34550087533157164,0.48033619024682733,inconsistent,inconsistent,180.0,165.0,0.34550087533157164,0.48033619024682733,180.0,165.0
Angptl4,Sdc2,0.10448889173500912,1.6234703729852724,0.0018567404480330798,3.1122391102002047,0.5102802857814177,0.6584013225580082,0.006658074657330679,2.713479206655466,1.6234703729852724,0.6584013225580082,positive,positive,41.0,133.0,1.6234703729852724,0.6584013225580082,41.0,133.0
Angptl4,Sdc3,0.6866580569093418,-0.4033944664086628,0.39035567059518494,-0.8589725319508245,0.9587989154276806,-0.051660871719910496,0.6297615579542883,-0.4820624861345644,0.4033944664086628,0.051660871719910496,negative,negative,172.0,236.0,0.4033944664086628,0.051660871719910496,172.0,236.0
Angptl4,Sdc4,0.13581183556834728,-1.4915702749769901,0.06995953517180296,-1.8121725753557139,0.9116037257456431,-0.11101591582363744,0.6104895307549797,-0.509374808295163,1.4915702749769901,0.11101591582363744,negative,negative,49.0,228.0,1.4915702749769901,0.11101591582363744,49.0,228.0
Mdk,Sdc2,0.005329877470036651,2.7863895704249595,0.0029495608215070373,2.972946267181152,0.2042490883697562,1.2695384433297152,0.1285283865762638,1.5199307282373093,2.7863895704249595,1.2695384433297152,positive,positive,8.0,76.0,2.7863895704249595,1.2695384433297152,8.0,76.0
Mdk,Ncl,0.00022824639946994522,3.6855085718480827,0.09543146260306418,1.6674172679045416,0.07336652763705115,1.7905438304624297,0.30897079020252927,-1.017384000482296,1.6674172679045416,1.017384000482296,positive,inconsistent,40.0,98.0,1.6674172679045416,1.017384000482296,40.0,98.0
Ptn,Sdc2,0.06690492127003869,1.832312194831719,0.0006762814352406325,3.3990184928864897,0.30511635509336743,1.0255232620143935,0.00267341372540563,3.0029898215578106,1.832312194831719,1.0255232620143935,positive,positive,35.0,97.0,1.832312194831719,1.0255232620143935,35.0,97.0
Ptn,Sdc4,0.06625288589887916,-1.8367088647653285,0.0006830663215476651,-3.3962872606704297,0.5668706872959928,-0.5726662588526248,0.043693948860547525,-2.017014991560203,1.8367088647653285,0.5726662588526248,negative,negative,33.0,144.5,1.8367088647653285,0.5726662588526248,33.0,144.5
Ptn,Ncl,0.01732685043895629,-2.3796976015660896,6.38082033377534e-06,4.513361237038911,0.8440224138432529,0.19675097952902082,1.2669130731384223e-07,5.283568721967789,2.3796976015660896,0.19675097952902082,inconsistent,positive,16.0,213.0,2.3796976015660896,0.19675097952902082,16.0,213.0
Pomc,Oprl1,0.14772795059239668,-1.4476035756408963,0.10155240722235576,1.6373737135278832,0.2702595726683893,1.102464985852558,4.6831526103252074e-05,4.070901618037214,1.4476035756408963,1.102464985852558,inconsistent,positive,54.5,92.0,1.4476035756408963,1.102464985852558,54.5,92.0
Enho,Gpr19,0.38101020000995234,0.8760364842716737,0.8666062656098943,-0.1679707812876811,0.5216431182031644,0.6408146428235706,0.7900119149142166,-0.26629514106583585,0.1679707812876811,0.26629514106583585,inconsistent,inconsistent,215.0,198.0,0.1679707812876811,0.26629514106583585,215.0,198.0
Col2a1,Cd44,0.2702595726683893,-1.102464985852558,0.029598173445786084,-2.1754264600916744,0.5954895369097317,-0.5308978944833355,0.0911682503226268,-1.6892671256330203,1.102464985852558,0.5308978944833355,negative,negative,79.0,155.0,1.102464985852558,0.5308978944833355,79.0,155.0
Col4a1,Cd44,0.8803023490394677,-0.15058594522612206,0.06544354199603832,-1.8422161297323723,0.6641641571363781,-0.43417115594392863,0.027040513152067677,-2.2109324789004527,0.15058594522612206,0.43417115594392863,negative,negative,218.0,169.0,0.15058594522612206,0.43417115594392863,218.0,169.0
Col4a2,Cd44,0.5173668535311761,-0.6474096477239847,0.37841395930390453,-0.8808223896793033,0.5713453436726307,-0.5660712539522107,0.44850070843226975,-0.7579169399566098,0.6474096477239847,0.5660712539522107,negative,negative,133.0,146.0,0.6474096477239847,0.5660712539522107,133.0,146.0
Col4a5,Cd44,0.6641641571363781,0.43417115594392863,0.27823216442976995,1.0842991897757626,0.0025510901983736077,-3.0172147419394535,0.0516543847798291,-1.9460029539426467,0.43417115594392863,1.9460029539426467,positive,negative,167.0,21.0,0.43417115594392863,1.9460029539426467,167.0,21.0
Col4a6,Cd44,0.5324127699031036,-0.6243271305725353,0.20848853772449227,-1.2577324354955632,0.04824500584511121,-1.9752039676740245,0.004352629429860672,-2.851406433566489,0.6243271305725353,1.9752039676740245,negative,negative,135.5,20.0,0.6243271305725353,1.9752039676740245,135.5,20.0
Col6a1,Cd44,0.9124753997722665,0.1099167483402351,0.007168829537867007,-2.688898116710927,0.1770873097507607,-1.349777669618087,5.644456094940002e-05,-4.027201902580257,0.1099167483402351,1.349777669618087,inconsistent,negative,221.0,70.0,0.1099167483402351,1.349777669618087,221.0,70.0
Col9a1,Cd44,0.785165681445668,-0.27259353588378304,0.5616537737013692,-0.5803868459127192,0.1527121698531354,-1.4300168959064585,0.0676705526981217,-1.827194352544043,0.27259353588378304,1.4300168959064585,negative,negative,194.0,58.0,0.27259353588378304,1.4300168959064585,194.0,58.0
Lama1,Cd44,0.13523610868813518,1.4937686099437948,0.0302171103485309,-2.167232763443495,0.5389281622840003,-0.6144346232219141,0.0001576746754027974,-3.7786597709188094,1.4937686099437948,0.6144346232219141,inconsistent,negative,48.0,140.0,1.4937686099437948,0.6144346232219141,48.0,140.0
Lama5,Cd44,0.03607222209330279,2.0961123908482833,0.02364642421442158,-2.26282589100559,0.5788402298833493,0.5550795791181872,3.093190188970081e-05,-4.166494745599309,2.0961123908482833,0.5550795791181872,inconsistent,inconsistent,25.0,149.0,2.0961123908482833,0.5550795791181872,25.0,149.0
Lamb1,Cd44,0.8200134565588335,0.22752766906428665,0.3681516415016064,0.8999410151917222,0.3187912522326194,-0.9969449074459323,0.9162548485522128,-0.10515244031830442,0.22752766906428665,0.10515244031830442,positive,negative,202.0,232.0,0.22752766906428665,0.10515244031830442,202.0,232.0
Lamb2,Cd44,0.8302837525135215,-0.21433765926345844,0.009393196425629202,2.597401837472922,0.06369688921264552,-1.854295544499766,0.21956378195827642,1.2276888811189048,0.21433765926345844,1.2276888811189048,inconsistent,inconsistent,206.0,78.0,0.21433765926345844,1.2276888811189048,206.0,78.0
Lamc1,Cd44,0.2003587593241034,-1.2805301181637387,0.015008980684199598,-2.432162288401301,0.04145445087322152,-2.0389556817113608,0.002602315209641396,-3.01118351820599,1.2805301181637387,2.0389556817113608,negative,negative,64.5,18.5,1.2805301181637387,2.0389556817113608,64.5,18.5
Col1a1,Sdc1,0.9701886414671089,0.037371694435679934,0.06665066423526446,1.8340224330841928,0.36276414471178264,-0.9101106762571466,0.5971569032717993,0.528493433807582,0.037371694435679934,0.528493433807582,positive,inconsistent,236.0,157.0,0.037371694435679934,0.528493433807582,236.0,157.0
Col1a2,Sdc1,0.14407209672698712,1.4607935854417244,0.821725162902345,0.22532665782493805,0.2589632234307657,1.1288450054542143,0.7194776152007569,-0.35915703641187097,0.22532665782493805,0.35915703641187097,positive,inconsistent,203.0,180.0,0.22532665782493805,0.35915703641187097,203.0,180.0
Col2a1,Sdc1,0.0034702590598132276,-2.922686338366851,0.3115755712299455,-1.0119215360501763,0.16506137873579063,-1.3882485315371693,0.9989103963300876,0.0013656161080299275,1.0119215360501763,0.0013656161080299275,negative,inconsistent,89.0,244.0,1.0119215360501763,0.0013656161080299275,89.0,244.0
Col4a1,Sdc1,0.17323938506881553,-1.3618685119355127,0.020929333196151836,-2.3092568386786074,0.2948659843926479,-1.0475066116824405,0.06746555426431655,-1.828559968652073,1.3618685119355127,1.0475066116824405,negative,negative,59.0,96.0,1.3618685119355127,1.0475066116824405,59.0,96.0
Col4a2,Sdc1,0.40536955553928555,-0.8320697849355796,0.12246439046742062,1.544511818181848,0.9011522306025178,-0.12420592562446565,0.03582113594487854,2.0989519580419986,0.8320697849355796,0.12420592562446565,inconsistent,inconsistent,109.0,226.0,0.8320697849355796,0.12420592562446565,109.0,226.0
Col4a5,Sdc1,0.9535448131466128,-0.058255876620324595,0.17902398632209293,1.3437662503014487,0.0015186380145729794,-3.1710981896157824,0.18848022422625943,-1.3150883120328203,0.058255876620324595,1.3150883120328203,inconsistent,negative,231.0,72.0,0.058255876620324595,1.3150883120328203,231.0,72.0
Col4a6,Sdc1,0.49140313186035756,-0.6880788446098717,0.6239526289390807,-0.49025618278274397,0.04080059747295444,-2.045550686611775,0.019390631864656033,-2.337934776947236,0.49025618278274397,2.045550686611775,negative,negative,159.0,17.0,0.49025618278274397,2.045550686611775,159.0,17.0
