,cell_1,cell_2,tension,type,distance_to_boundary
337,cell_195,cell_196,425.7987398815545,Hindbrain_awayfrom_boundary,3
338,cell_195,cell_228,99.99133481440684,Hindbrain_awayfrom_boundary,2
339,cell_195,cell_235,213.0063101654524,Hindbrain_awayfrom_boundary,3
340,cell_195,cell_259,104.28734441766991,Hindbrain_awayfrom_boundary,3
341,cell_196,cell_212,389.39986663371167,Hindbrain_awayfrom_boundary,4
342,cell_196,cell_235,391.2553106497297,Hindbrain_awayfrom_boundary,4
343,cell_197,cell_200,252.5714168190365,Midbrain_awayfrom_boundary,3
344,cell_197,cell_226,227.1337245568483,Midbrain_awayfrom_boundary,3
345,cell_197,cell_230,264.2313017963921,Midbrain_awayfrom_boundary,3
346,cell_198,cell_200,67.28446431451464,Midbrain_awayfrom_boundary,4
347,cell_198,cell_225,286.5424377391338,Midbrain_awayfrom_boundary,5
348,cell_198,cell_243,309.1943495513865,Midbrain_awayfrom_boundary,5
349,cell_199,cell_214,107.69640989295289,Midbrain_awayfrom_boundary,1
351,cell_199,cell_264,166.87621623051558,Midbrain_awayfrom_boundary,1
352,cell_200,cell_226,281.2389726267535,Midbrain_awayfrom_boundary,4
353,cell_200,cell_236,280.1934400844633,Midbrain_awayfrom_boundary,4
354,cell_200,cell_243,350.06039138018343,Midbrain_awayfrom_boundary,4
370,cell_211,cell_212,204.02029698489108,Hindbrain_awayfrom_boundary,5
372,cell_211,cell_253,161.43938277262376,Hindbrain_awayfrom_boundary,5
375,cell_212,cell_235,1.538615327833009,Hindbrain_awayfrom_boundary,4
376,cell_212,cell_253,169.0804483612682,Hindbrain_awayfrom_boundary,5
377,cell_214,cell_230,165.7904961378417,Midbrain_awayfrom_boundary,2
378,cell_214,cell_250,138.75830914512116,Midbrain_awayfrom_boundary,2
379,cell_214,cell_264,165.7795833305466,Midbrain_awayfrom_boundary,1
387,cell_219,cell_244,169.5603471929387,heterotypic,0
395,cell_224,cell_228,151.9560769052341,Hindbrain_awayfrom_boundary,1
396,cell_224,cell_251,254.42935654591187,Hindbrain_awayfrom_boundary,1
397,cell_225,cell_243,292.9475057491127,Midbrain_awayfrom_boundary,5
398,cell_226,cell_230,131.76211293010357,Midbrain_awayfrom_boundary,3
399,cell_226,cell_236,1.5372285700496906,Midbrain_awayfrom_boundary,4
400,cell_226,cell_273,127.11682330846976,Midbrain_awayfrom_boundary,4
401,cell_228,cell_251,151.3912194794356,Hindbrain_awayfrom_boundary,1
402,cell_228,cell_259,114.50395962803192,Hindbrain_awayfrom_boundary,2
403,cell_228,cell_291,235.73364692220576,Hindbrain_awayfrom_boundary,2
404,cell_230,cell_250,53.66000026436196,Midbrain_awayfrom_boundary,3
405,cell_230,cell_273,7.896251802777252,Midbrain_awayfrom_boundary,3
413,cell_235,cell_253,170.16392499834558,Hindbrain_awayfrom_boundary,4
414,cell_235,cell_259,244.364878023922,Hindbrain_awayfrom_boundary,3
415,cell_235,cell_262,141.29076432532943,Hindbrain_awayfrom_boundary,4
416,cell_236,cell_243,144.14574324832674,Midbrain_awayfrom_boundary,5
421,cell_244,cell_251,148.49298411705055,heterotypic,0
423,cell_244,cell_274,188.9682452934476,heterotypic,0
428,cell_250,cell_273,58.49428649750382,Midbrain_awayfrom_boundary,3
430,cell_251,cell_280,263.9872293876763,Hindbrain_awayfrom_boundary,1
431,cell_251,cell_291,376.2990136615875,Hindbrain_awayfrom_boundary,1
432,cell_253,cell_258,28.356123661416312,Hindbrain_awayfrom_boundary,5
433,cell_253,cell_262,113.32753441334992,Hindbrain_awayfrom_boundary,4
434,cell_253,cell_302,35.49077596483662,Hindbrain_awayfrom_boundary,5
435,cell_253,cell_307,115.13317893554635,Hindbrain_awayfrom_boundary,4
445,cell_258,cell_302,17.54324394799169,Hindbrain_awayfrom_boundary,5
446,cell_259,cell_262,193.99018151397493,Hindbrain_awayfrom_boundary,3
447,cell_259,cell_287,114.30271114225596,Hindbrain_awayfrom_boundary,3
448,cell_259,cell_291,211.0052684623089,Hindbrain_awayfrom_boundary,2
451,cell_262,cell_287,160.8110731371817,Hindbrain_awayfrom_boundary,3
452,cell_262,cell_307,143.32778358381125,Hindbrain_awayfrom_boundary,4
466,cell_274,cell_303,343.4007066872458,heterotypic,0
471,cell_280,cell_291,227.9982975169004,Hindbrain_awayfrom_boundary,1
472,cell_280,cell_321,246.64875566167427,Hindbrain_awayfrom_boundary,1
480,cell_284,cell_302,21.971206634450308,Hindbrain_awayfrom_boundary,5
483,cell_287,cell_291,277.3201586984525,Hindbrain_awayfrom_boundary,2
484,cell_287,cell_307,84.8608933554374,Hindbrain_awayfrom_boundary,3
485,cell_287,cell_325,150.94685363804612,Hindbrain_awayfrom_boundary,3
