,cell_1,cell_2,tension,type,distance_to_boundary,relative_adhesion,Cdh1,Cdh2,Cdh3,Cdh4,Cdh15,Cdh6,Cdh7,Cdh8,Cdh9,Cdh10,Cdh11,Cdh12,Cdh18,Cdh20,Cdh22,Cdh24,Cdh13,log_tension,log_adhesion
54,cell_42,cell_72,196.58219146077224,Hindbrain_awayfrom_boundary,1,1.4548450312594816e-17,0.0,1.2324179842805091e-17,0.0,5.367135385558702e-19,1.0494938754371017e-22,2.4460861795789748e-21,0.0,7.213472851234824e-23,0,0.0,1.499776162177182e-19,0,0,6.539058465517972e-22,1.5254268468816953e-18,1.563307397248239e-22,8.71906125252964e-21,5.28108062100987,-38.76904719367311
55,cell_42,cell_74,211.91990286288737,Hindbrain_awayfrom_boundary,1,1.0774940349284806e-17,0.0,9.829276682606057e-18,0.0,2.330029333488066e-19,7.965420285442036e-23,0.0,0.0,1.7980785083955795e-22,0,0.0,8.284323647498071e-20,0,0,6.117344480875923e-23,6.137500310118626e-19,4.0881652961573546e-24,1.5742742179300197e-20,5.356208386596813,-39.06930857394759
56,cell_44,cell_60,2.4193109386999345,Midbrain_awayfrom_boundary,2,6.723953308894634e-17,0.0,6.512770000567449e-17,0.0,6.029056994801329e-19,2.4439665293838822e-20,6.959015158048589e-24,0.0,4.679042363154986e-22,0,9.290872919553316e-21,1.6550731949808131e-19,0,0,9.085907413930466e-19,3.7399488654369874e-19,0.0,2.6629034892032727e-20,0.8834827635491752,-37.23827030932437
57,cell_44,cell_66,97.23051767330831,Midbrain_awayfrom_boundary,1,1.919675251251056e-17,0.0,1.850349305015927e-17,0.0,3.796423829265432e-19,1.24036758955539e-20,7.699126166645414e-22,0.0,0.0,0,0.0,6.925576761771919e-20,0,0,2.272901213022485e-19,3.2296981673989835e-21,0.0,6.67903825164712e-22,4.577084630021198,-38.49179054913827
58,cell_44,cell_104,145.09552261968298,Midbrain_awayfrom_boundary,1,6.040968500776341e-18,0.0,5.79912729042503e-18,0.0,9.755003390028025e-20,3.9068481925419415e-21,0.0,0.0,4.9221371712757665e-24,0,7.648120686380907e-21,1.3457823354329096e-20,0,0,5.640073436397619e-22,1.0288842915843214e-19,0.0,1.5821025578534423e-20,4.9773923022099344,-39.64796732698978
59,cell_46,cell_50,34.033793927010784,Midbrain_awayfrom_boundary,5,1.133797847462871e-16,0.0,1.0779109374104836e-16,0.0,1.137078497085852e-18,1.8561165516527375e-20,3.231616717105412e-21,0.0,6.062057265960023e-23,0,0.0,1.063629926908177e-20,0,0,1.463054586152721e-22,4.318186869748073e-18,2.3559928465498094e-21,9.843363802426216e-20,3.5273539700155583,-36.715788563514195
60,cell_46,cell_62,13.441533430550134,Midbrain_awayfrom_boundary,4,1.991832344653766e-16,0.0,1.8921036391939793e-16,0.0,1.6125877623140234e-18,4.207902077156911e-21,1.1165182491122605e-21,0.0,8.278141730992641e-22,0,0.0,5.905909253306118e-21,0,0,2.7383428121829177e-22,8.286837660179224e-18,3.4424586681229406e-23,6.107872086484946e-20,2.5983494231216975,-36.15230649661478
61,cell_46,cell_76,12.75676118959138,Midbrain_awayfrom_boundary,4,2.7343759235351775e-16,0.0,2.60408082612963e-16,0.0,1.728927862623772e-18,2.7197542397051574e-21,2.51004518081551e-21,0.0,9.573071858852912e-24,0,0.0,3.72649527773862e-22,0,0,3.797615106761685e-22,1.1142140943668558e-17,6.84610719024068e-23,1.5238068965968335e-19,2.5460614204304255,-35.835458259590936
62,cell_46,cell_98,101.88345622132432,Midbrain_awayfrom_boundary,5,1.5245284629363833e-16,0.0,1.4497241414534304e-16,0.0,1.0317103638607244e-18,1.6666181643821307e-21,1.5351855437107851e-21,0.0,5.869234318520933e-24,0,0.0,2.284131779485903e-22,0,0,2.3271045122164807e-22,6.3521215954918566e-18,4.196531500881209e-23,9.288942705615283e-20,4.623829573969722,-36.41967633029084
69,cell_50,cell_98,98.15357123411552,Midbrain_awayfrom_boundary,5,2.860683931472269e-17,0.0,2.714057879140699e-17,0.0,3.082144897428731e-19,5.110320112229811e-21,8.888665293627494e-22,0.0,1.6694589686753724e-23,0,0.0,2.928817098856909e-21,0,0,4.02810915003328e-23,1.1213856333753556e-18,6.487669029065623e-22,2.702665387292947e-20,4.586533305532929,-38.09288584777727
71,cell_52,cell_64,232.1298242227381,Hindbrain_awayfrom_boundary,3,1.766472817986557e-17,4.467278813238988e-21,1.6533677667886088e-17,0.0,2.8535439447035274e-19,4.370831947855548e-21,0.0,0.0,1.757857798926278e-20,0,0.0,6.427518845785883e-20,0,0,8.159002425246793e-20,3.313079486208516e-19,6.611761501099708e-20,2.759886524166018e-19,5.447296802322771,-38.5749617806971
72,cell_52,cell_65,416.47083936773,Hindbrain_awayfrom_boundary,4,2.183809686597987e-18,9.82645200454786e-23,2.0432180369926477e-18,0.0,6.947544023215762e-20,4.766140497901046e-22,0.0,0.0,6.867244052548242e-23,0,0.0,4.44969001040793e-21,0,0,5.6626321807709475e-21,2.6839970201443726e-20,1.9436221493296456e-23,3.350092974870469e-20,6.0318164456329795,-40.665460759643146
86,cell_60,cell_94,115.38068693329316,Midbrain_awayfrom_boundary,2,1.1147889680803342e-16,0.0,1.0922095173261221e-16,0.0,5.137401318030672e-19,2.1525947640734408e-20,3.4719812429780715e-21,0.0,1.027428011358321e-21,0,0.0,1.6534421349395743e-19,0,0,7.728028791982121e-19,7.787629515793604e-19,1.0675134899157689e-21,2.020289616064113e-22,4.748236982471041,-36.73269636720144
87,cell_60,cell_104,145.67862906490353,Midbrain_awayfrom_boundary,1,1.8719326026863698e-17,0.0,1.8290355089993454e-17,0.0,1.0427394578825928e-19,5.8374879912747565e-21,0.0,0.0,2.0548166856590627e-22,0,6.088903054903662e-21,4.5801258941839937e-20,0,0,8.687454503705223e-22,2.403006301274213e-19,0.0,2.5594483847609273e-20,4.981403024782702,-38.516975206329974
