,contractility
cell_306,0.009187708601281033
cell_307,0.04869273026430492
cell_308,0.010313836551146885
cell_309,0.05792306266166464
cell_310,0.04486138525812324
cell_311,0.04541833869890115
cell_312,0.06910123635422634
cell_313,0.04930702402989496
cell_314,0.038452371671839805
cell_315,0.053339652544203475
cell_316,0.017052949225719937
cell_317,0.053339652544203475
cell_318,0.011293721870007534
cell_319,0.015634786667029745
cell_320,0.01222355900628752
cell_321,0.04005312383699516
cell_322,0.045037448035918956
cell_323,0.02396427985598058
cell_324,0.036770822603571986
cell_325,0.03600217467049948
cell_326,0.006691881449359551
cell_327,0.06321116604376407
cell_328,0.0545941755140021
cell_329,0.06321116604376407
cell_330,0.06321116604376407
cell_331,0.05792306266166464
cell_332,0.03600217467049948
cell_333,0.013609755824700765
cell_334,0.015634786667029745
cell_335,0.013432470533636116
cell_336,0.01111563853216197
cell_337,0.02758282694088092
cell_338,0.054656855540712555
cell_339,0.060594550053543444
cell_340,0.034894600391135844
cell_341,0.02148440055723907
cell_342,0.006691881449359551
cell_343,0.04950907053213257
cell_344,0.054656855540712555
cell_345,0.03600217467049948
cell_346,0.028659488426476868
cell_347,0.044087223558801375
cell_348,0.059974025014612645
cell_349,0.024969082950209033
cell_350,0.014676516017134125
cell_351,0.021698482661674703
cell_352,0.04927886702856931
cell_353,0.04911070191085643
cell_354,0.006691881449359551
cell_355,0.014215023698352853
cell_356,0.039434007582991384
cell_357,0.04022102330090078
cell_358,0.050871674479663585
cell_359,0.021255669104731558
cell_360,0.04022102330090078
cell_361,0.03317142237353296
cell_362,0.021072554182348886
cell_363,0.02148440055723907
cell_364,0.03128310062969885
cell_365,0.021072554182348886
cell_366,0.04911070191085643
cell_367,0.06374726637886383
cell_368,0.0183293959244013
cell_369,0.06581051193428274
cell_370,0.024415312332444185
cell_371,0.018955929810004293
cell_372,0.03586463644615222
cell_373,0.06374726637886383
cell_374,0.029852543822633904
cell_375,0.06581051193428274
cell_376,0.06581051193428274
cell_377,0.028896369391428093
