,cell_1,cell_2,length
341,cell_528,cell_533,76.94153624668537
342,cell_571,cell_597,45.60701700396552
343,cell_597,cell_610,99.29753269845128
344,cell_528,cell_551,80.62257748298549
345,cell_59,cell_81,38.2099463490856
346,cell_40,cell_59,145.46477236774544
347,cell_733,cell_743,191.049731745428
348,cell_234,cell_290,78.23042886243178
349,cell_466,cell_496,45.34313619501854
350,cell_59,cell_90,130.38404810405297
351,cell_143,cell_165,102.17631819555841
352,cell_90,cell_165,82.68010643437755
353,cell_165,cell_191,134.41726079637243
354,cell_17,cell_59,63.59547848596773
355,cell_572,cell_597,108.75660899458019
356,cell_466,cell_477,82.46211251235322
357,cell_477,cell_496,203.3420763147657
358,cell_677,cell_691,34.92849839314596
359,cell_642,cell_677,44.94441010848846
360,cell_234,cell_261,153.8440769090575
361,cell_261,cell_290,224.4014260204244
362,cell_496,cell_528,67.08203932499369
363,cell_447,cell_477,53.81449618829484
364,cell_90,cell_122,125.93649193144932
365,cell_528,cell_572,59.93329625508679
366,cell_707,cell_720,33.13325653410138
367,cell_191,cell_216,55.17245689653489
368,cell_216,cell_234,128.15615474880636
369,cell_614,cell_642,24.166091947189145
370,cell_597,cell_614,110.07270324653611
371,cell_419,cell_447,136.13228860193308
372,cell_707,cell_727,24.138202376034375
373,cell_17,cell_26,208.2360653809576
374,cell_70,cell_90,64.62197768561404
375,cell_90,cell_148,79.12016177940993
376,cell_148,cell_165,148.4048516727132
377,cell_642,cell_647,116.84177335182824
378,cell_26,cell_59,85.9337456561832
379,cell_647,cell_677,32.55764119219941
380,cell_70,cell_122,84.02380615040002
381,cell_707,cell_733,14.560219778561036
382,cell_419,cell_477,56.55651475216658
383,cell_635,cell_642,12.649110640673518
384,cell_677,cell_707,68.13907987063399
385,cell_614,cell_635,144.2497833620557
386,cell_528,cell_531,154.0519392932137
387,cell_635,cell_647,99.15644204992432
388,cell_743,cell_749,125.63439019631528
389,cell_122,cell_148,56.142675390472796
390,cell_165,cell_216,62.289646009589745
391,cell_59,cell_70,182.4343407600056
392,cell_496,cell_531,54.18207380197934
393,cell_647,cell_665,79.19595949289332
394,cell_531,cell_572,12.0
395,cell_665,cell_677,105.23231459591274
396,cell_572,cell_614,36.87817782917155
397,cell_216,cell_261,118.96217886370441
398,cell_545,cell_572,31.240998703626616
399,cell_531,cell_545,119.81652640600127
400,cell_455,cell_477,93.20535572866598
401,cell_419,cell_455,179.2124211846365
402,cell_572,cell_576,97.52948272189288
403,cell_545,cell_576,78.63841300535
404,cell_111,cell_122,118.15244390193544
405,cell_572,cell_600,50.11985634456667
406,cell_665,cell_707,12.516475453739762
407,cell_600,cell_614,89.37561188601732
408,cell_705,cell_707,82.57686661176692
409,cell_665,cell_705,61.18823416311342
410,cell_51,cell_59,29.112800092325937
411,cell_51,cell_70,111.03661195722052
412,cell_496,cell_525,30.23226534014795
413,cell_726,cell_749,70.71067811865476
414,cell_525,cell_531,72.37406587748531
415,cell_111,cell_148,83.57032966310472
416,cell_26,cell_51,169.162643630324
417,cell_70,cell_111,56.568542494923804
418,cell_635,cell_665,62.80127387243033
419,cell_576,cell_600,46.389654018972806
420,cell_705,cell_726,84.40379138403677
421,cell_477,cell_525,63.05728878747411
422,cell_525,cell_545,110.14535850411491
423,cell_70,cell_75,177.61217349065151
424,cell_75,cell_111,58.137767414994535
425,cell_665,cell_667,144.88616221019868
426,cell_667,cell_705,38.8329756778952
427,cell_148,cell_164,116.22524235355553
428,cell_468,cell_477,165.36448473741638
429,cell_573,cell_576,78.23042886243178
430,cell_611,cell_614,29.732137494637012
431,cell_455,cell_468,141.8731828077456
432,cell_600,cell_611,70.76722405181653
433,cell_573,cell_600,72.47068372797375
434,cell_738,cell_749,75.7099729229908
435,cell_726,cell_738,124.48293055676348
436,cell_545,cell_573,61.741396161732524
437,cell_611,cell_635,72.47068372797375
438,cell_261,cell_265,226.74214429611447
439,cell_216,cell_265,119.07980517283357
440,cell_635,cell_667,10.0
441,cell_635,cell_637,76.94153624668537
442,cell_637,cell_667,61.05735008989499
443,cell_118,cell_148,55.17245689653489
444,cell_111,cell_118,163.22989922192565
445,cell_468,cell_525,38.168121411614756
446,cell_164,cell_216,43.86342439892262
447,cell_75,cell_118,84.2140130857092
448,cell_51,cell_75,89.35986937703362
449,cell_573,cell_611,67.08203932499369
450,cell_419,cell_443,65.69790571624276
451,cell_148,cell_149,7.36601518155988
452,cell_611,cell_637,86.53323061113575
453,cell_149,cell_164,242.8634357484826
454,cell_443,cell_455,62.76941930590086
455,cell_118,cell_149,100.65783625729296
456,cell_545,cell_554,50.15974481593781
457,cell_554,cell_573,110.45361017187261
458,cell_667,cell_673,116.97845469181485
459,cell_525,cell_554,67.67569726275453
460,cell_738,cell_768,66.03029607687671
461,cell_21,cell_26,103.84603988597736
462,cell_637,cell_673,120.59850745345068
463,cell_216,cell_218,171.45261736118232
464,cell_164,cell_218,92.02173656261873
465,cell_443,cell_468,123.17467272130257
466,cell_726,cell_728,18.110770276274835
467,cell_728,cell_738,203.9607805437114
468,cell_21,cell_51,106.30145812734649
469,cell_573,cell_591,98.40731680114035
470,cell_591,cell_611,61.61168720299745
471,cell_61,cell_75,133.5065541462291
472,cell_105,cell_118,130.38404810405297
473,cell_75,cell_105,52.839379254491625
474,cell_611,cell_622,54.62600113499065
475,cell_622,cell_637,100.4987562112089
476,cell_218,cell_265,110.34491379306978
477,cell_51,cell_61,220.95248357961492
478,cell_673,cell_689,89.55445270895244
479,cell_728,cell_768,57.688820407423826
480,cell_105,cell_149,123.43419299367578
481,cell_149,cell_218,79.12016177940993
482,cell_591,cell_622,72.27724399837061
483,cell_768,cell_774,92.97311439335567
484,cell_61,cell_105,95.01578816175763
485,cell_717,cell_728,98.48857801796105
486,cell_554,cell_562,80.99382692526635
487,cell_562,cell_573,20.0
488,cell_562,cell_591,89.10667763978185
489,cell_689,cell_717,57.271284253105414
490,cell_728,cell_774,32.0
491,cell_443,cell_450,155.8589105569521
492,cell_637,cell_643,62.12889826803627
493,cell_643,cell_673,76.15773105863909
494,cell_622,cell_643,96.66436778875658
495,cell_21,cell_27,140.0142849854971
496,cell_27,cell_51,128.39003076563228
497,cell_218,cell_222,200.48940121612415
498,cell_643,cell_689,7.211102550927978
499,cell_723,cell_774,44.94441010848846
500,cell_723,cell_728,229.47766775876036
501,cell_681,cell_689,34.40930106817051
502,cell_643,cell_681,64.89992295835181
503,cell_605,cell_622,120.41594578792295
504,cell_591,cell_605,72.47068372797375
505,cell_149,cell_222,24.73863375370596
