,pressure,perimeter,feret_d,area,centroid_x,centroid_y,stresstensor_eigval1,stresstensor_eigval2,stresstensor_orientation,stresstensor_anisotropy,inertiatensor_eigval1,inertiatensor_eigval2,inertiatensor_orientation,inertiatensor_anisotropy,moments_hu_1,moments_hu_3,bbox_x,bbox_y,celltype,celltype_conf,cluster,cluster_conf,phenograph_clusters,boundary_annotation
cell_806,0.5685387598471039,1132.6883835420683,345.8916015170071,53959,3842.671621045609,6652.159732389407,0.0084845488599679,0.0063811894137235,0.2911026544624133,0.1414904128889981,6073.459314879285,3439.563771535268,0.0119229568845185,0.2768726113053857,0.1763009523233298,0.0001938264081378,307,253,Cranial mesoderm,1.0,2.0,1.0,5,Other
cell_807,0.1964144134858354,846.5168106668145,292.7541630788536,28399,5509.657558364731,6638.949822176837,0.0022954109786277,0.001829813531509,0.014706012243237,0.1128659654703944,5591.723414652974,957.4267051293772,0.8434029150103424,0.7076180305480017,0.2306119975978855,0.000376519429992,239,237,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,4,Other
cell_808,0.3098621109704962,1190.4579361637686,392.7200020370748,46901,4151.951472250059,6636.735506705614,0.0058422519156903,0.0052392831089822,0.9204195631107492,0.0544120291426739,7387.462042807036,2224.1036703232576,0.3538731774524798,0.5372026292688349,0.2049330656730196,0.0004088673282243,379,217,Cranial mesoderm,1.0,2.0,1.0,5,Other
cell_809,1.8408864214032783,547.515764646288,166.4001201922643,13549,5758.450217728246,6614.550298915049,0.0361103501600778,0.0344097603328242,1.499027642861504,0.0241149626024032,1409.2431557829343,940.739621038019,1.0335995833238432,0.1993646674205438,0.1734432634748655,0.0008356404019896,157,141,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,3,Other
cell_810,0.1903268983165618,1064.2325394193526,407.6530387474132,29061,5156.560682701903,6800.11376071023,0.0073827402708474,0.0017319608531972,1.4456827903806044,0.6199632155511213,8556.474799937941,884.5862834090531,1.3079751952651542,0.8126087151433927,0.3248704822045695,0.006805270008246,167,385,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,4,Other
cell_811,1.3758941637733524,906.8477631085024,316.7222758190525,40067,6340.281403648888,6690.603838570394,0.0217602551181498,0.016337019889152,0.3646452577953184,0.1423523133336544,4897.947758443892,2166.482543387704,0.7430718859050562,0.3866504584733464,0.1763154292018767,0.0001652392194928,253,235,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,3,Other
cell_812,0.6082797678217025,664.2436867076458,249.09837414162303,15763,6604.225464695806,6627.909598426695,0.0457305350848226,0.0056868601139986,0.6352841247026525,0.7787962578808715,3567.542058799336,505.12906194094745,0.0139866159211033,0.7519421298869176,0.2583690363979117,0.0013202132803089,249,103,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,3,Other
cell_813,0.1961256469626791,945.2447327281724,317.5059054568907,33427,5593.791396176744,6719.346695784845,0.005984822570538,0.0005945269241549,0.6745274297015893,0.8192748615544789,6022.080331831034,1285.371594698114,0.6950235117133079,0.6482025177526874,0.2186092657590914,0.0003407715834235,307,223,Forebrain/Midbrain/Hindbrain,1.0,6.0,0.5505357660005792,3,Other
cell_814,0.1194221556086993,1071.6883835420683,314.21330334662787,37801,4539.631914499616,6771.539906351683,0.0122450181496869,0.0054610196149145,0.1161655017564069,0.3831460558801691,6092.617224637872,1928.1220814549924,1.3212396348632904,0.5192158707887897,0.2121832572178742,0.0013290995218799,241,309,Cranial mesoderm,1.0,2.0,1.0,5,Other
cell_815,0.4159249926234554,1010.859956417322,283.7692724732542,48421,6120.5377005844575,6749.65981702154,0.0091038240453063,0.0055757013089096,1.1587478676159553,0.2403431072370078,4159.045643798327,3793.5072347783607,0.9120029961439016,0.0459649139843743,0.1642376836202616,0.0001870914478963,259,267,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,3,Other
cell_816,1.3528691555759114,955.2802666341051,303.43368303469543,27197,6438.015663492297,6767.786005809464,0.0333709715884474,0.0227866100632815,0.8636400761900455,0.188476091987127,6333.249560449733,1139.112607479207,0.7618871200760611,0.695113116340043,0.2747495006040718,0.0043316025254193,277,251,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,3,Other
cell_817,0.4984676453701767,994.9371208835976,382.9843338832543,24685,4986.1338869758965,6792.889811626494,0.0053243654242383,0.0031416508618266,0.6470912219862361,0.2578207374824484,8647.599622491545,497.8901401646717,1.0753504492773782,0.8911178836593954,0.3704877359795916,0.0013288547680696,209,341,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,4,Other
cell_818,0.5675828555429567,665.7645019878171,248.2941803587028,15573,5080.68817825724,6777.512682206383,0.0115621265150292,0.0066687010664794,0.9364157574490232,0.2684148827951808,3667.0695142385975,457.2156292072,1.2955818233580323,0.7782812713937617,0.264835622130983,0.0009564744903031,121,243,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,4,Other
