,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
706,cell_262,cell_287,160.8110731371817,5.460581294586258e-17,5.080230217167351,-37.446391332598935
707,cell_262,cell_307,143.32778358381125,2.1294410899490414e-17,4.96513420008718,-38.38808703469506
708,cell_263,cell_267,330.02295703328355,5.0657777457594067e-17,5.799162218808396,-37.52143890202282
709,cell_263,cell_286,131.51173480148998,1.289180874125802e-16,4.879096085670487,-36.58735445251499
710,cell_263,cell_297,239.91125810485025,9.915345824879354e-17,5.480269097068227,-36.84986294057619
711,cell_263,cell_305,152.3881462179715,5.246016147811892e-17,5.0264308595054965,-37.48647762133991
712,cell_263,cell_316,151.09762435237565,1.3383038912114254e-16,5.017926146801527,-36.54995842851093
713,cell_264,cell_303,174.2271094477685,1.2156400739816175e-16,5.1603596748579355,-36.646090739966404
714,cell_266,cell_278,146.59180283930831,3.193203687912589e-17,4.987651872741276,-37.98292187718303
715,cell_267,cell_297,399.969972242803,2.2353973769110333e-17,5.991389474897142,-38.33952757136168
716,cell_268,cell_279,112.50327548088302,2.888863715420463e-17,4.722982336606257,-38.0830833341444
717,cell_268,cell_301,219.14849030414908,5.763846995174204e-17,5.3897495379711335,-37.392341448017675
718,cell_269,cell_271,65.03556557004086,2.7366077556608735e-17,4.174934282872768,-38.13722747288935
719,cell_269,cell_278,109.12995315446288,2.873423768712058e-17,4.6925394028613026,-38.088442311356864
720,cell_270,cell_279,120.6745798748707,3.4767223173493156e-17,4.793097500080962,-37.897856593774556
721,cell_270,cell_298,113.25336057094174,1.633629338368782e-18,4.729627437838482,-40.955727546291364
722,cell_270,cell_304,141.84374639753776,1.066344691291174e-17,4.95472607425934,-39.07970995724219
723,cell_271,cell_278,155.85904757247772,2.5103829043663618e-17,5.048952057608073,-38.223511287849504
724,cell_272,cell_276,128.7049571090397,6.547116337520252e-18,4.857522630636084,-39.567506974999525
725,cell_272,cell_288,148.38462025476753,1.762871060440916e-18,4.9998076882653315,-40.8795879096004
726,cell_272,cell_299,81.36546048655694,2.0356755289724163e-17,4.398950864613025,-38.43311886182018
727,cell_272,cell_312,114.52551314921834,6.959801343085022e-18,4.740797620437016,-39.50638074261404
728,cell_274,cell_280,0.8038369107637529,5.911996057032603e-17,-0.21835887768823373,-37.36696306419616
729,cell_274,cell_303,343.4007066872458,4.172365480414591e-17,5.83889800637403,-37.71546344442974
730,cell_274,cell_321,246.6445341956296,5.421677058051559e-17,5.507948167270532,-37.45354139300309
731,cell_275,cell_277,49.50078298790775,1.996932896026344e-17,3.9019884873870727,-38.45233412942009
732,cell_275,cell_292,147.17937984587357,2.8133388005377885e-17,4.991652113913503,-38.10957461764179
733,cell_275,cell_314,91.45612238692742,1.4032155004359575e-17,4.515859320512064,-38.80518019183316
734,cell_276,cell_312,151.87399191612388,1.8285628529332964e-17,5.023051176483476,-38.540416248841616
735,cell_277,cell_314,102.51685009916524,1.0520062784971012e-17,4.630027176279077,-39.09324749844793
736,cell_279,cell_301,247.6545490951779,6.131289110423352e-17,5.5120348279153175,-37.33054155772139
737,cell_279,cell_304,121.77952680869772,4.4976283479086846e-17,4.8022122525487845,-37.6403963568517
738,cell_279,cell_320,275.9971774550003,2.350470076587748e-17,5.62039063905254,-38.28933124015603
739,cell_280,cell_291,227.9982975169004,5.908434517234635e-17,5.429338161895424,-37.36756567167029
740,cell_280,cell_321,246.64875566167427,2.8945226996239186e-17,5.507965282711312,-38.0811263540627
741,cell_281,cell_295,148.35729034196245,1.3407296206711284e-17,4.999623488380473,-38.85073262208035
742,cell_281,cell_311,11.592834409291022,2.3806680197776786e-17,2.4503871839056703,-38.27656545201996
743,cell_282,cell_285,2.119702367764874,7.745496347276074e-17,0.7512756862642239,-37.09683502292765
744,cell_282,cell_315,328.6288730911928,2.5931604940336056e-17,5.7949290687278525,-38.19106918114252
745,cell_283,cell_294,75.20680691349996,1.6624272303421228e-17,4.32024174432609,-38.63566785953167
