,cell_1,cell_2,tension,relative_adhesion
217,cell_79,cell_104,79.05874800988377,1.3903623240335077e-18
218,cell_80,cell_81,66.34766163357777,4.8559625141295435e-18
219,cell_80,cell_103,60.29438697486241,1.4560905364429448e-18
220,cell_80,cell_104,115.62548692137834,5.749028148797402e-19
221,cell_81,cell_84,26.3314921249545,1.2207275080596105e-17
222,cell_81,cell_96,76.76791422069991,1.8576332475664256e-17
223,cell_81,cell_103,38.33370190236534,3.4736383488077365e-18
224,cell_81,cell_110,91.21453508849984,5.047011629659072e-19
225,cell_82,cell_88,128.62047498887256,3.3807618896365465e-18
226,cell_82,cell_98,167.90468539132962,2.0285314532176545e-18
227,cell_82,cell_100,151.8834722072237,7.402978763184476e-18
228,cell_82,cell_109,129.4177398696675,5.846207463558275e-19
229,cell_83,cell_92,56.79934774231981,2.058770474750885e-18
230,cell_83,cell_97,78.94082914334032,9.981787598555198e-17
231,cell_84,cell_89,37.77166850074492,3.4427814917554044e-17
232,cell_84,cell_96,78.89415278102527,1.469553730755039e-17
233,cell_85,cell_87,138.25773644553013,2.3071633564599783e-18
234,cell_85,cell_99,65.25599639049172,1.0610678024154718e-17
235,cell_85,cell_102,58.1451679579937,1.6879016435288335e-17
236,cell_85,cell_113,84.65260291518156,7.360578982376948e-18
237,cell_86,cell_100,46.65866940067797,1.4537139094301545e-17
238,cell_86,cell_105,136.60709479995336,6.9719728319711e-19
239,cell_86,cell_107,68.93609911755277,2.07860644546701e-17
240,cell_87,cell_94,104.376135214491,1.3754022179810997e-17
241,cell_87,cell_102,148.4348236030908,5.146548799020919e-18
242,cell_88,cell_98,82.53574938891154,2.1211585954118792e-18
243,cell_89,cell_94,88.27915220654512,5.669116793739517e-17
244,cell_89,cell_96,91.8812186800136,3.141077122179933e-17
245,cell_89,cell_120,87.86564442331829,2.990038685524624e-17
246,cell_89,cell_121,223.80663972991007,6.343726002049981e-19
247,cell_90,cell_93,39.95456388550538,1.2193456423450474e-16
248,cell_90,cell_95,17.289473373579,3.5890961560952867e-17
249,cell_91,cell_93,319.1463365369845,8.32686626815367e-17
250,cell_91,cell_101,431.8649610760023,1.6877600076667595e-17
251,cell_91,cell_111,308.8302410458481,3.964131899066745e-18
252,cell_91,cell_116,494.69755277141047,5.790577824085949e-18
253,cell_92,cell_97,69.82861486966871,3.735198299174743e-18
254,cell_92,cell_99,59.11302922682283,1.4413964876359312e-18
255,cell_92,cell_114,300.45337889568134,1.0851074095138138e-18
256,cell_92,cell_118,105.80923921605708,2.0369704128424586e-19
257,cell_93,cell_95,20.94522104053081,6.888101571249525e-17
258,cell_93,cell_111,63.19135684287988,1.0001180115108216e-17
259,cell_93,cell_130,84.10380358541195,9.753451193865682e-18
260,cell_94,cell_102,129.1425878351167,2.5356910459636745e-17
261,cell_94,cell_121,145.48239837484837,2.809493941826711e-17
262,cell_95,cell_130,81.16479274507662,1.5816416544621908e-17
263,cell_96,cell_110,147.21604484370192,5.930467885949914e-18
264,cell_96,cell_120,96.53774321910193,3.535872724986888e-17
265,cell_97,cell_108,76.01216349790313,6.406293488603077e-18
266,cell_97,cell_118,74.97838184838257,7.350163590742552e-17
267,cell_98,cell_104,176.52348421512514,5.913981497551667e-18
268,cell_98,cell_109,171.68869733667137,6.375332493536604e-19
269,cell_98,cell_117,207.70519826504497,2.3899971156372137e-18
270,cell_99,cell_113,75.77371588838051,1.5549692477670563e-17
271,cell_99,cell_114,300.1262100493305,1.099223123028159e-17
272,cell_100,cell_107,66.7783538535154,1.6689274944986077e-17
273,cell_100,cell_109,133.7001401308362,1.6006531189123213e-18
274,cell_100,cell_119,79.39267214103224,3.337380603385945e-18
275,cell_101,cell_112,348.04788885952325,6.2552384419036015e-18
276,cell_101,cell_116,437.3166982647029,5.220216887252313e-18
277,cell_102,cell_113,85.82742706799789,2.9612949254985347e-17
278,cell_102,cell_122,82.5775466598659,2.79921109386969e-17
279,cell_103,cell_104,76.77618760597588,1.4952798103239281e-19
280,cell_103,cell_106,82.46740427113973,7.088062237179746e-18
281,cell_103,cell_110,70.53752470460942,1.3239015516459338e-18
282,cell_104,cell_106,43.05032898699274,2.93509679367631e-17
283,cell_104,cell_117,77.33446193646319,9.128892772177361e-18
284,cell_105,cell_107,96.6084441187534,1.0227908008795799e-17
285,cell_105,cell_112,65.00936135333565,7.210570033189956e-18
286,cell_105,cell_128,72.13128918871577,1.2567732175409567e-18
287,cell_106,cell_110,153.89467102882213,1.9852862957835128e-18
288,cell_106,cell_117,76.7886033200581,5.933786736284939e-18
289,cell_106,cell_124,68.39469278475048,2.2869706812768433e-18
290,cell_106,cell_126,52.70343881895024,2.4867444313536944e-18
291,cell_107,cell_119,20.73497542830713,8.185613147985729e-18
292,cell_107,cell_128,55.33355613996506,2.7471794525171347e-18
293,cell_108,cell_115,44.27786800051933,4.366153658325188e-18
294,cell_108,cell_118,57.41629283021992,8.854279311488209e-18
295,cell_108,cell_129,116.64443847424874,6.825432746717373e-19
296,cell_108,cell_132,37.995204048406265,2.4714534613608867e-18
297,cell_108,cell_137,62.250702732056006,1.2115434666729806e-18
298,cell_109,cell_117,90.21672344322366,1.556515204538288e-18
299,cell_109,cell_119,132.53222876078397,4.1330417655071885e-19
300,cell_109,cell_123,247.93564916422204,1.0128079632151722e-18
301,cell_110,cell_120,158.56274061216905,2.938466263462652e-18
302,cell_110,cell_126,138.11535841800952,7.4463341859380885e-19
303,cell_111,cell_116,396.8395708046343,2.300677134418568e-18
304,cell_111,cell_127,128.1948025798485,6.502584709481507e-19
305,cell_111,cell_130,62.34935136271959,1.6315525634991715e-18
306,cell_111,cell_134,69.00191534018767,2.925120066630851e-18
307,cell_112,cell_116,209.89362873132623,6.0689208149953605e-18
308,cell_112,cell_127,2.46001920211126,6.048760911807713e-18
309,cell_112,cell_128,40.19094466229919,5.998843858494948e-18
310,cell_112,cell_145,63.45532702913814,1.309960411023501e-18
311,cell_112,cell_158,54.914406577744,5.075866885199156e-18
312,cell_112,cell_159,45.69431665875212,3.6883115528333355e-18
313,cell_113,cell_114,320.5147738326351,4.714337834769393e-18
314,cell_113,cell_122,150.20267986968318,8.557739960219337e-18
315,cell_113,cell_125,108.79225316269316,2.5986092550451456e-17
316,cell_113,cell_138,129.78762191123212,7.59807439126851e-18
317,cell_114,cell_118,345.37067303229736,2.4244068874315078e-17
318,cell_114,cell_125,325.92039661656463,1.1567839750217842e-17
319,cell_114,cell_129,243.40391431784045,2.025035769474917e-17
320,cell_114,cell_135,343.66377207724787,8.81190795377431e-18
321,cell_115,cell_132,32.70590356885854,6.729325769069615e-18
322,cell_115,cell_133,15.23562308501969,3.9550475861004724e-18
323,cell_116,cell_127,207.08528535996803,3.097884523959333e-18
324,cell_117,cell_123,232.73354531439884,7.074103438557518e-18
325,cell_117,cell_124,12.828686216613573,1.77317012288627e-18
326,cell_117,cell_139,19.362861471433188,1.1665828582855251e-17
327,cell_118,cell_129,104.33314584097026,1.611622444641508e-17
328,cell_119,cell_123,268.4762353314639,5.376219319025413e-18
329,cell_119,cell_128,52.17688243130471,3.1263603482152326e-18
330,cell_120,cell_121,235.8954592222485,6.62782588565763e-18
331,cell_120,cell_126,141.45803863314484,4.021269897517054e-18
332,cell_120,cell_131,173.6458861378634,6.820001554481723e-17
333,cell_121,cell_122,182.07796662651683,1.793974914241933e-17
334,cell_121,cell_131,276.58748385698203,1.1925757209559281e-17
335,cell_121,cell_136,159.97385038143452,1.2183722965142647e-17
336,cell_122,cell_136,170.53449131029237,8.066784165724937e-18
337,cell_122,cell_138,152.07517870923076,9.608546722988172e-18
338,cell_122,cell_141,93.4416465713738,4.610051923097921e-17
339,cell_123,cell_128,267.2025951842316,2.6297424069498545e-18
340,cell_123,cell_139,231.7322277439428,9.716636373802441e-18
341,cell_123,cell_146,291.2663935319921,1.2943553625551172e-18
342,cell_123,cell_153,349.2214815099506,1.5172203475057238e-18
343,cell_124,cell_126,51.847781208888094,3.176368718871409e-19
344,cell_124,cell_139,15.933715520307413,1.2398474124868791e-18
345,cell_124,cell_140,53.031162865767165,3.2481681391004435e-18
346,cell_124,cell_150,77.57659106505098,8.104953148123474e-20
347,cell_125,cell_135,41.5585308834473,2.1749563025886284e-17
348,cell_125,cell_138,140.13989923576167,9.119470760490275e-18
349,cell_126,cell_131,270.2550277662331,1.494515608425445e-18
350,cell_126,cell_140,70.31450070256332,4.881068466719769e-18
351,cell_127,cell_134,125.85781294828205,6.10739916792662e-18
352,cell_127,cell_158,53.53795431868125,4.794476960675879e-18
353,cell_128,cell_145,23.951622619648536,1.0299677755446162e-18
354,cell_128,cell_146,51.46078717658098,1.0974600037662246e-18
355,cell_128,cell_155,17.157998812056384,6.0474657524756926e-18
356,cell_129,cell_135,205.5787448648778,9.544931992434925e-18
357,cell_129,cell_137,118.06298832386882,7.122249334386904e-18
358,cell_129,cell_142,110.97308259563464,2.4054392022928656e-18
359,cell_130,cell_134,32.50966106715652,1.0879531762728694e-17
360,cell_130,cell_151,265.218816224336,1.5955304186279797e-17
361,cell_131,cell_136,141.10564347965473,2.0874525614478798e-17
362,cell_131,cell_140,293.6148998500615,7.204931811513953e-18
363,cell_131,cell_143,161.03787866705892,1.75395256205439e-17
364,cell_131,cell_152,158.11818283137418,3.1856203709499593e-18
365,cell_132,cell_133,32.46718131059659,2.096920211148517e-18
366,cell_132,cell_137,54.63904874349451,7.172528253939679e-18
367,cell_132,cell_147,48.80549038558696,1.6832596977615728e-18
368,cell_133,cell_147,52.14622132323828,2.0426440716372537e-18
369,cell_134,cell_158,126.32640067354404,7.96554417213022e-18
370,cell_135,cell_138,133.85651447879692,5.0218109360358534e-18
371,cell_135,cell_142,208.89022634295912,8.884841136287355e-19
372,cell_135,cell_144,138.9292003082035,9.80840688729977e-18
373,cell_136,cell_141,120.85580225658406,1.4568955424782436e-17
374,cell_136,cell_152,78.56295899925055,1.295362604261376e-18
375,cell_136,cell_154,127.0493267815868,5.628764490300122e-19
376,cell_136,cell_157,77.6113748255316,4.252421435252962e-18
377,cell_137,cell_142,43.24097106301644,2.777589010306649e-18
378,cell_137,cell_147,38.06391703478926,1.9006609017863793e-18
379,cell_137,cell_160,64.3718748220689,5.872927027176034e-18
380,cell_138,cell_141,82.22269911532537,1.1529010965933609e-17
381,cell_138,cell_144,10.336195758121876,8.327557635804989e-18
382,cell_138,cell_149,86.7012919379248,2.1169928439521393e-17
383,cell_139,cell_150,81.46097387834159,5.119326103422087e-19
384,cell_139,cell_153,147.51613479027864,6.195976034724163e-18
385,cell_140,cell_143,220.7527669676,4.400168058298388e-17
386,cell_140,cell_150,55.38455100212218,1.6160629263239062e-18
387,cell_141,cell_149,14.042073683679002,5.452885315161437e-17
388,cell_141,cell_154,43.927250929165645,2.3064909030323137e-18
389,cell_142,cell_144,145.02052893073184,1.0638702262443371e-18
390,cell_142,cell_156,99.89816827415557,9.879812220032561e-19
391,cell_142,cell_160,63.1447054194324,7.632298526908417e-19
392,cell_143,cell_152,3.652583287590101,4.216715127727993e-18
393,cell_143,cell_157,40.22785339844851,8.88195375265769e-19
394,cell_143,cell_170,73.44469894806997,1.0204517451650099e-17
395,cell_143,cell_176,373.2281033179048,3.9232601034650396e-18
396,cell_144,cell_149,92.74722974968886,3.2587383540660796e-18
397,cell_144,cell_156,85.58461866255269,2.121126210430398e-18
398,cell_144,cell_164,97.43577433023076,3.0053963532539104e-18
399,cell_145,cell_155,24.94367942844855,1.983614236506277e-18
400,cell_145,cell_159,20.56837051488007,1.0348879544200605e-18
401,cell_145,cell_169,28.155557682779907,6.474370182904482e-19
402,cell_145,cell_175,32.32552108565945,3.1420767083936547e-19
403,cell_146,cell_153,125.22848561874798,1.484209052926123e-18
404,cell_146,cell_155,47.70695596605219,3.682679441301136e-18
405,cell_146,cell_163,118.57965642367408,2.693377650133553e-19
406,cell_146,cell_169,51.44372770949518,1.2614956316761158e-18
407,cell_146,cell_183,152.74466642215322,6.683773385181005e-20
408,cell_147,cell_148,110.6385134857364,2.0206425729300323e-18
409,cell_147,cell_160,60.37428107974763,1.4980629393530643e-18
410,cell_147,cell_161,66.04066203824982,2.5053131388488742e-18
411,cell_148,cell_161,120.02486820958862,4.925552576483702e-19
412,cell_148,cell_165,130.79103091256684,1.5341482725569971e-19
413,cell_149,cell_154,36.86929060658193,1.3316970716039508e-17
414,cell_149,cell_164,125.46560076383972,2.0348715984235824e-18
415,cell_149,cell_171,27.986696083247544,7.107897214348719e-18
416,cell_150,cell_162,80.95351528028101,7.8982259999242e-19
417,cell_152,cell_157,39.44837533432102,1.1646238874649767e-18
418,cell_153,cell_163,65.4308346564332,4.255959183198832e-19
419,cell_153,cell_168,82.4616979591371,6.366062662195418e-19
420,cell_154,cell_157,86.08012975706677,1.2298197474060674e-18
421,cell_154,cell_167,117.23004152352364,2.4436483995714548e-18
422,cell_154,cell_171,32.5258150314644,3.967952969660109e-18
423,cell_154,cell_179,32.99551771683544,4.326276402241502e-18
424,cell_155,cell_169,6.786839065500079,9.219246712936243e-18
425,cell_156,cell_164,89.08655934208461,1.7080740894598226e-18
426,cell_156,cell_172,97.19571527061365,1.8931810002915815e-19
427,cell_156,cell_174,49.33646567196424,3.9352088466861225e-18
428,cell_157,cell_167,76.17186465204347,4.383246362229652e-18
429,cell_157,cell_170,45.15345619521352,3.2067533813567355e-18
430,cell_157,cell_179,55.42355366275504,3.0283717595479398e-18
431,cell_157,cell_184,94.22868987308992,4.040600562646167e-18
432,cell_158,cell_159,17.161955519780385,9.936369216452617e-18
433,cell_158,cell_190,69.81983027380521,2.0129906957277775e-17
434,cell_159,cell_175,20.909419561490388,5.345274845315291e-19
435,cell_159,cell_182,42.35963378604692,1.652384296474489e-18
436,cell_159,cell_190,54.2176454823828,4.390711328912501e-18
437,cell_160,cell_161,37.018870626597966,1.3605592959298269e-18
438,cell_160,cell_166,45.8175884974949,2.9574553931393688e-18
439,cell_161,cell_165,134.0101200908022,4.631208028470248e-19
440,cell_161,cell_166,33.08209732084524,1.7621207830737853e-18
441,cell_161,cell_177,86.25070495417853,5.239340890065423e-18
442,cell_162,cell_168,64.55049160750652,1.6751360016831043e-18
443,cell_162,cell_173,66.22472460285665,1.6186556431090811e-18
